combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
121,L11N2607;L9N255;L9N1503;L10N1162;L10N2178,1;6;7;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08549712961657145,0.053627400499662504,0.19151265625359257,0.01110162232083238,0.004710352565784837,11.492511133090263
122,L11N2607;L9N255;L9N1503;L10N1162;L11N1623,1;6;7;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08944099478355089,0.057106184745329074,0.1983218758321273,0.007157757153852945,0.0012315683201182676,7.409782228336847
123,L11N2607;L9N255;L9N1503;L10N2178;L11N1623,1;6;7;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08562161844243736,0.054924664570088454,0.1895146353439989,0.01097713349496647,0.0034130884953588875,11.363639047924423
124,L11N2607;L9N255;L10N1162;L10N2178;L11N1623,1;6;8;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08755566131291637,0.05641125615670567,0.19640012371503532,0.009043090624487465,0.001926496908741672,9.36149840770966
125,L11N2607;L9N1503;L10N1162;L10N2178;L11N1623,1;7;8;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.09123761304891259,0.05889645331189093,0.19586083126871892,0.00536113888849124,-0.00055870024644359,5.549904922131156
126,L11N2652;L0N399;L10N379;L10N369;L9N255,2;3;4;5;6,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12768445469092254,0.09012385396809255,0.21742457410444455,-0.031085702753518712,-0.03178610090264521,-32.1802322804981
127,L11N2652;L0N399;L10N379;L10N369;L9N1503,2;3;4;5;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.13950742877009414,0.10057933137483133,0.2243403152719319,-0.04290867683269031,-0.042241578309383986,-44.419494012195116
128,L11N2652;L0N399;L10N379;L10N369;L10N1162,2;3;4;5;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.13777183796460746,0.09847697668168771,0.2271473815898154,-0.041173086027203626,-0.04013922361624037,-42.62279294652157
129,L11N2652;L0N399;L10N379;L10N369;L10N2178,2;3;4;5;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.13518312600132412,0.09776405083904602,0.22034527621509317,-0.03858437406392029,-0.03942629777359868,-39.942932274035
130,L11N2652;L0N399;L10N379;L10N369;L11N1623,2;3;4;5;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1395120266266519,0.10148673603198319,0.22738191876251002,-0.04291327468924808,-0.04314898296653585,-44.424253759568195
131,L11N2652;L0N399;L10N379;L9N255;L9N1503,2;3;4;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12076327821088938,0.0811872591624817,0.2107519022078953,-0.024164526273485545,-0.022849506097034365,-25.015360746217716
132,L11N2652;L0N399;L10N379;L9N255;L10N1162,2;3;4;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11944641040353887,0.07936371411101406,0.21398622274886298,-0.02284765846613504,-0.02102596104556672,-23.65212594148252
133,L11N2652;L0N399;L10N379;L9N255;L10N2178,2;3;4;6;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1168062391369475,0.07875098253281741,0.2068977279440713,-0.02020748719954367,-0.02041322946737007,-20.91899408041851
134,L11N2652;L0N399;L10N379;L9N255;L11N1623,2;3;4;6;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12106802381010875,0.08235085785314136,0.21411714341378907,-0.024469271872704923,-0.02401310478769402,-25.330836456935856
135,L11N2652;L0N399;L10N379;L9N1503;L10N1162,2;3;4;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12918320237551295,0.08774893720240612,0.21906354513426332,-0.03258445043810912,-0.029411184136958778,-33.731750964260804
136,L11N2652;L0N399;L10N379;L9N1503;L10N2178,2;3;4;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12611769591503758,0.08679631769740702,0.2120637058111963,-0.029518943977633744,-0.028458564631959678,-30.558307830687166
137,L11N2652;L0N399;L10N379;L9N1503;L11N1623,2;3;4;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1307454564040832,0.09072061503469742,0.21909746604357758,-0.03414670446667936,-0.032382861969250075,-35.34901205432394
138,L11N2652;L0N399;L10N379;L10N1162;L10N2178,2;3;4;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12515215397024818,0.08522780089060096,0.21536426881459533,-0.028553402032844344,-0.02689004782515362,-29.558769093980636
139,L11N2652;L0N399;L10N379;L10N1162;L11N1623,2;3;4;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1294043969759462,0.08891404965339414,0.2224808432495648,-0.03280564503854236,-0.030576296587946798,-33.96073384033002
140,L11N2652;L0N399;L10N379;L10N2178;L11N1623,2;3;4;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1267666699473713,0.0881963783360459,0.21556978781715258,-0.03016791800996746,-0.029858625270598564,-31.230132279055038
141,L11N2652;L0N399;L10N369;L9N255;L9N1503,2;3;5;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.13212541283054108,0.09339775593826655,0.22147924079618161,-0.035526660893137246,-0.035060002872819206,-36.77755683236838
142,L11N2652;L0N399;L10N369;L9N255;L10N1162,2;3;5;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.13032184046486694,0.09098538906682584,0.22421889828459896,-0.03372308852746311,-0.032647636001378495,-34.910480571545826
